ВОРОНЕЖ,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Зибенштейн Совиньон Блан Пфальц белое полусухое 0,75 л",,800,нет,Германия,Совиньон Блан,"12,5",,,,,,1999,950
,,,,,,,,,,,,,
ВИНО РОЗОВОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Бродлиф Совиньон Блан розовое сухое 0,75 л",1820,650,630,ЮАР,Совиньон Блан\Пино Нуар,"12,5",,,,,,1799,590
"Вино жемчужное Кашу Фрешку розовое сухое 0,75 л",,нет,400,Португалия,Арагонеш\Каштелау,"11,5",,,,,,1699,500
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья розовое сухое 0,75 л",,нет,450,Испания,Бобаль,12,,,,,,1499,500
"Вино Розато Тоскана Тенуте Россетти розовое сухое 0,75 л",,нет,800,Италия,Санджовезе\Мерло,"12,5",,,,,,1999,800
,,,,,,,,,,,,,
ВИНО РОЗОВОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Маре Альта Винью Верде розовое полусухое 0,75 л",1930,720,690,Португалия,Виньаон\Боррасал\Эшпадейро,10,,,,,,1699,620
"Вино Галеоне Примитиво Мерло Розе Апулия розовое полусухое 0,75 л",2120,850,800,Италия,Примитиво/Мерло,"12,5",,,,,,1999,750
"Вино Бриза ду Мар Винью Верде DOC розовое полусухое 0,75 л",1950,узнать,700,Португалия,Виньяу\Амарал\Боррасал,10,,,,,,1599,530
,,,,,,,,,,,,,
ВИНО КРАСНОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Саперави красное сухое 0,75 л",1180,550,270,Россия,Саперави,11,,,,,,1099,250
"Вино Сол де Плата Мальбек красное сухое 0,75 л",1860,650,650,Аргентина,Мальбек,"13,5",,,,,,1499,590
"Вино Саперави Бадагони красное сухое 0,75 л",1950,700,700,Грузия,Саперави,13,,,,,,1599,650
"Вино Тенуте Дель Неччио Кьянти красное сухое 0,75 л",2090,890,780,Италия,"Санджовезе, Мальвазия Нера, Чильеджоло",13,,,,,,1899,770
"Вино Бариста Пинотаж красное сухое 0,75 л",2490,1100,1000,ЮАР,Пинотаж,13,,,,,,2299,1000
"Вино Патриа Чика красное сухое 0,75 л",3210,1400,1400,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,,,,2899,1400
"Вино Марселино Риоха Крианза красное сухое 0,75 л",2080,нет,770,Испания,Темпранильо,"12,5",,,,,,1899,770
"Вино Ультимо Бастион Бобаль Гарнача Крианца красное сухое 0,75 л",2120,нет,800,Испания,Бобаль\Гарнача,"12,5",,,,,,1999,800
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",2290,нет,890,Испания,Темпранильо,"13,5",,,,,,2099,870
"Вино Терраш де Монсараш красное сухое 0,75 л",1860,нет,650,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,1599,650
"Вино Терраш де Монсараш красное сухое 0,75 л",1860,нет,650,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,1599,650
"Вино Марселино Риоха красное сухое 0,75 л",1890,нет,670,Испания,Темпранильо,"13,5",,,,,,1699,670
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3020,нет,1300,Испания,Темпранильо,"13,5",,,,,,2499,1300
Вино Маркес Де Касерес Крианса красное сухое 0.75,3210,нет,1400,Испания,Темпранильо/Гарнача/Грасиано,14,,,,,,2599,1350
"Вино Кинта дель Дуке Виньо Тинто красное сухое 0,75 л",1590,нет,500,Испания,Темпранильо,11,,,,,,1399,490
Вино Трамонтана Апулия красное сухое,,нет,нет,Италия,Санджовезе,11,,,,,,1299,500
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,нет,нет,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,,,,2200,нет в наличии
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,нет,нет,Чили,Пино Нуар,"12,5",,,,,,1799,700
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,нет,нет,Италия,Санджовезе,"12,5",,,,,,1899,770
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1680,550,550,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,1599,550
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1700,570,550,Грузия,Саперави,12,,,,,,1599,550
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1750,600,590,Грузия,Саперави,12,,,,,,1499,530
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",1930,690,690,Грузия,Саперави,12,,,,,,1699,600
