УФА,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,цена,,,закуп,,,,,,,
ВИНО РОЗОВОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,цена,,,закуп,,,,,,,
"Вино Бриза ду Мар Винью Верде DOC розовое полусухое 0,75 л",1880,,600,Португалия,Виньяу\Амарал\Боррасал,10,,,,,,,,,,1600,,,550,,,,,,,
"Вино Маре Альта Винью Верде розовое полусухое 0,75 л",2060,,700,Португалия,Виньаон\Боррасал\Эшпадейро,10,,,,,,,,,,1700,,,670,,,,,,,
"Вино Галеоне Примитиво Мерло Розе Апулия розовое полусухое 0,75 л",2300,,830,Италия,Примитиво/Мерло,"12,5",,,,,,,,,,1900,,,770,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,цена,,,закуп,,,,,,,
"Вино Вилла Анна Пино Гриджио белое полусухое 0,75 л",1910,,620,Италия,Пино Гриджио,12,,,,,,,,,,1500,,,550,,,,,,,
Вино Маре Альта Винью Верде DOC белое полусухое,2060,,700,Португалия,"Аринто/Падерна, Лоурейро",10,,,,,,,,,,1600,,,670,,,,,,,
Вино Лизард Рислинг Трокен белое полусухое,2240,,800,Германия,Рислинг,12,,,,,,,,,,1700,,,800,,,,,,,
"Вино Примо Фиоре Фамозо белое полусухое 0,75 л",2430,,900,Италия,Фамозо,"12,5",,,,,,,,,,1900,,,930,,,,,,,
"Вино Вейнцунфт Рислинг Мозель белое полусухое 0,75 л",,НЕТ,НЕТ,Германия,Рислинг,12,,,,,,,,,,1700,,,730,,,,,,,
Вино Макуту Бей Совиньон Блан белое полусухое ,,НЕТ,НЕТ,Новая Зеландия,Совиньон Блан,12,,,,,,,,,,2100,,,1000,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО КРАСНОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,цена,,,закуп,,,,,,,
"Вино Саперави красное сухое 0,75 л",1260,,270,Россия,Саперави,11,,,,,,,,,,1200,,,270,,,,,,,
"Вино Кинта дель Дуке Виньо Тинто красное сухое 0,75 л",1680,,500,Испания,Темпранильо,11,,,,,,,,,,1300,,,500,,,,,,,
"Вино Сол де Плата Мальбек красное сухое 0,75 л",1960,,650,Аргентина,Мальбек,"13,5",,,,,,,,,,1500,,,590,,,,,,,
"Вино Марселино Риоха красное сухое 0,75 л",2000,МАЛО,670,Испания,Темпранильо,"13,5",,,,,,,,,,1600,,,670,,,,,,,
"Вино Саперави Бадагони красное сухое 0,75 л",2060,,700,Грузия,Саперави,13,,,,,,,,,,1400,,,640,,,,,,,
"Вино Тенуте Дель Неччио Кьянти красное сухое 0,75 л",2060,,700,Италия,"Санджовезе, Мальвазия Нера, Чильеджоло",13,,,,,,,,,,1700,,,650,,,,,,,
"Вино Марселино Риоха Крианза красное сухое 0,75 л",2190,МАЛО,770,Испания,Темпранильо,"12,5",,,,,,,,,,1900,,,870,,,,,,,
"Вино Бариста Пинотаж красное сухое 0,75 л",2610,,1000,ЮАР,Пинотаж,13,,,,,,,,,,2100,,,1000,,,,,,,
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3170,МАЛО,1300,Испания,Темпранильо,"13,5",,,,,,,,,,2300,,,1400,,,,,,,
Вино Маркес Де Касерес Крианса красное сухое 0.75,3270,МАЛО,1350,Испания,Темпранильо/Гарнача/Грасиано,14,,,,,,,,,,2500,,,1299,,,,,,,
