ИРКУТСК,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Бриза ду Мар Винью Верде DOC розовое полусухое 0,75 л",1960,,650,Португалия,Виньяу\Амарал\Боррасал,10,,,,,,1600,550
"Вино Маре Альта Винью Верде розовое полусухое 0,75 л",2120,,730,Португалия,Виньаон\Боррасал\Эшпадейро,10,,,,,,1700,670
"Вино Галеоне Примитиво Мерло Розе Апулия розовое полусухое 0,75 л",2370,,870,Италия,Примитиво/Мерло,"12,5",,,,,,1900,770
,,,,,,,,,,,,,
ВИНО КРАСНОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Саперави красное сухое 0,75 л",1290,,290,Россия,Саперави,11,,,,,,1200,250
"Вино Кинта дель Дуке Виньо Тинто красное сухое 0,75 л",1740,,530,Испания,Темпранильо,11,,,,,,1300,500
"Вино Сол де Плата Мальбек красное сухое 0,75 л",2000,,670,Аргентина,Мальбек,"13,5",,,,,,1500,570
"Вино Марселино Риоха красное сухое 0,75 л",2030,,690,Испания,Темпранильо,"13,5",,,,,,1600,670
"Вино Саперави Бадагони красное сухое 0,75 л",2090,,720,Грузия,Саперави,13,,,,,,1400,640
"Вино Марселино Риоха Крианза красное сухое 0,75 л",2230,,790,Испания,Темпранильо,"12,5",,,,,,1900,790
"Вино Тенуте Дель Неччио Кьянти красное сухое 0,75 л",2240,,800,Италия,"Санджовезе, Мальвазия Нера, Чильеджоло",13,,,,,,1700,770
"Вино Ультимо Бастион Бобаль Гарнача Крианца красное сухое 0,75 л",2240,,800,Испания,Бобаль\Гарнача,"12,5",,,,,,1800,800
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",2370,,870,Испания,Темпранильо,"13,5",,,,,,2000,870
"Вино Бариста Пинотаж красное сухое 0,75 л",2990,,1200,ЮАР,Пинотаж,13,,,,,,2100,1200
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3270,,1350,Испания,Темпранильо,"13,5",,,,,,2300,1300
Вино Маркес Де Касерес Крианса красное сухое 0.75,3270,,1350,Испания,Темпранильо/Гарнача/Грасиано,14,,,,,,2500,1350
"Вино Патриа Чика красное сухое 0,75 л",3450,,1450,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,,,,2500,1400
"Вино Терраш де Монсараш красное сухое 0,75 л",,нет,нет в наличии,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,1700,650
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,нет,нет ,Чили,Пино Нуар,"12,5",,,,,,1700,650
Вино Трамонтана Апулия красное сухое,,нет,500,Италия,Санджовезе,11,,,,,,1000,350
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,нет,нет,Италия,Санджовезе,"12,5",,,,,,1800,770
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,нет,нет,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,,,,2200,1000
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1670,,490,Грузия,Саперави,11,,,,,,1400,400
"Вино Музаради Алазанская Долина белое полусладкое 0,75 л",1680,,500,Грузия,Ркацители\Белые сорта винограда,"12,5",,,,,,1400,400
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1680,,500,Грузия,Саперави,12,,,,,,1700,450
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1680,,500,ЮАР,Пинотаж,"13,5",,,,,,1500,500
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1780,,550,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,1600,550
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1890,,610,Грузия,Саперави,12,,,,,,1700,590
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",2120,,730,Грузия,Саперави,12,,,,,,1900,630
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2370,,870,Грузия,Саперави,11,,,,,,2000,690
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2810,,1100,Грузия,Саперави,12,,,,,,2100,1000
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",,нет,нет,Грузия,Саперави,"11,5",,,,,,1500,450
Вино Трамонтана Апулия красное полусладкое,,нет,500,Италия,Санджовезе,"10,5",,,,,,1000,450
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1600,,450,Грузия,Саперави,"11,5",,,,,,1100,400
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2240,,800,Италия,Примитиво,"13,5",,,,,,1500,650
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2190,,770,Италия,Негроамаро,13,,,,,,1500,650
