СОЧИ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,закуп,,,
"Вино Бриза ду Мар Винью Верде DOC розовое полусухое 0,75 л",1960,,650,Португалия,Виньяу\Амарал\Боррасал,10,,,,,,590,,1600,
"Вино Маре Альта Винью Верде розовое полусухое 0,75 л",2030,,690,Португалия,Виньаон\Боррасал\Эшпадейро,10,,,,,,670,,1700,
"Вино Галеоне Примитиво Мерло Розе Апулия розовое полусухое 0,75 л",2240,,800,Италия,Примитиво/Мерло,"12,5",,,,,,770,,1700,
,,,,,,,,,,,,,,1900,
ВИНО КРАСНОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,закуп,,1900,
"Вино Саперави красное сухое 0,75 л",1220,,250,Россия,Саперави,11,,,,,,250,,1900,
Вино Трамонтана Апулия красное сухое,1670,,490,Италия,Санджовезе,11,,,,,,400,,2100,
"Вино Кинта дель Дуке Виньо Тинто красное сухое 0,75 л",1680,,500,Испания,Темпранильо,11,,,,,,490,,,
"Вино Сол де Плата Мальбек красное сухое 0,75 л",1960,,650,Аргентина,Мальбек,"13,5",,,,,,650,,цена,
"Вино Терраш де Монсараш красное сухое 0,75 л",1960,очень мало,650,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,650,,1600,
"Вино Марселино Риоха красное сухое 0,75 л",2000,,670,Испания,Темпранильо,"13,5",,,,,,650,,1500,
"Вино Саперави Бадагони красное сухое 0,75 л",2190,,770,Грузия,Саперави,13,,,,,,590,,1700,
"Вино Тенуте Дель Неччио Кьянти красное сухое 0,75 л",2240,,800,Италия,"Санджовезе, Мальвазия Нера, Чильеджоло",13,,,,,,700,,1900,
"Вино Ультимо Бастион Бобаль Гарнача Крианца красное сухое 0,75 л",2240,,800,Испания,Бобаль\Гарнача,"12,5",,,,,,770,,,
"Вино Марселино Риоха Крианза красное сухое 0,75 л",2240,,800,Испания,Темпранильо,"12,5",,,,,,800,,цена,
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",2370,мало,870,Испания,Темпранильо,"13,5",,,,,,870,,1600,
"Вино Бариста Пинотаж красное сухое 0,75 л",2810,,1100,ЮАР,Пинотаж,13,,,,,,1000,,1700,
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3170,мало,1300,Испания,Темпранильо,"13,5",,,,,,1300,,1900,
Вино Маркес Де Касерес Крианса красное сухое 0.75,3270,,1350,Испания,Темпранильо/Гарнача/Грасиано,14,,,,,,1350,,,
"Вино Патриа Чика красное сухое 0,75 л",3370,,1400,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,,,,1400,,цена,
"Вино Терраш де Монсараш красное сухое 0,75 л",,нет,нет,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,770,,1200,
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,нет,нет,Италия,Санджовезе,"12,5",,,,,,630,,1000,
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,нет,нет,Чили,Пино Нуар,"12,5",,,,,,670,,1300,
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,нет,нет,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,,,,1200,,1500,
,,,,,,,,,,,,,,1700,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,закуп,,1600,
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1600,,450,ЮАР,Пинотаж,"13,5",,,,,,450,,1400,
Вино Трамонтана Апулия красное полусладкое,1670,,490,Италия,Санджовезе,"10,5",,,,,,450,,1700,
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1670,,490,Грузия,Саперави,11,,,,,,400,,1800,
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",1680,,500,Грузия,Саперави,"11,5",,,,,,500,,1900,
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1780,,550,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,550,,2000,
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1780,,550,Грузия,Саперави,12,,,,,,450,,2100,
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1880,,600,Грузия,Саперави,12,,,,,,590,,2300,
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",2030,,690,Грузия,Саперави,12,,,,,,630,,2500,
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2370,,870,Грузия,Саперави,11,,,,,,690,,2500,
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2810,,1100,Грузия,Саперави,12,,,,,,1000,,1800,
,,,,,,,,,,,,,,1800,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,закуп,,1700,
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1600,мало,450,Грузия,Саперави,"11,5",,,,,,390,,2200,
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2120,,730,Италия,Негроамаро,13,,,,,,700,,,
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2120,,730,Италия,Монтепульчано,13,,,,,,730,,цена,
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2120,,730,Италия,Примитиво\Негроамаро,15,,,,,,730,,1500,
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2190,,770,Италия,Примитиво,"13,5",,,,,,550,,1000,
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2370,,870,Италия,Монтепульчано,13,,,,,,770,,1400,
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2370,,870,Италия,Неро д'Авола,13,,,,,,870,,1500,
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2430,,900,Италия,Примитиво,14,,,,,,850,,1600,
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2430,,900,Италия,Ува Лонганези,"13,5",,,,,,900,,1700,
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",2520,,950,Германия,Пино Нуар,"12,5",,,,,,950,,1700,
"Вино Баррелая красное полусухое 0,75 л",2610,,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,1000,,1900,
"Вино Кьянти Ризерва красное полусухое 0,75 л",2680,,1030,Италия,Санджовезе\Мерло,13,,,,,,950,,2000,
"Вино Неро ди Тройя красное полусухое 0,75 л",2990,мало,1200,Италия,Неро ди Троя,15,,,,,,1200,,2100,
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",3050,,1230,Италия,Монтепульчано,"13,5",,,,,,1100,,,
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3170,,1300,Италия,Сузуманьелло,"14,5",,,,,,1300,,цена,
Вино ВайНот?! IGP красное полусухое,3370,очень мало,1400,Италия,Зинфандель,15,,,,,,1400,,1100,
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,нет,нет,ЮАР,Пинотаж,"13,5",,,,,,570,,1500,
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет,Италия,Санджовезе\Мерло,"13,5",,,,,,500,,1600,
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,нет,нет,Франция,Пино Нуар,14,,,,,,850,,1700,
,,,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,
