,новая цена,Наличие,NEW,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Ошторошбор Дебрей Харшлевелю белое полусухое 0,75 л",,НЕТ,НЕТ,Венгрия,Харшлевелю,"12,5",,,,,,1599,500
,,,,,,,,,,,,,
ВИНО РОЗОВОЕ СУХОЕ,новая цена,Наличие,NEW,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Бродлиф Совиньон Блан розовое сухое 0,75 л",1820,,630,ЮАР,Совиньон Блан\Пино Нуар,"12,5",,,,,,1799,550
"Вино Розато Тоскана Тенуте Россетти розовое сухое 0,75 л",2120,МАЛО,800,Италия,Санджовезе\Мерло,"12,5",,,,,,2499,800
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья розовое сухое 0,75 л",,НЕТ,нет,Испания,Бобаль,12,,,,,,1599,500
"Вино жемчужное Кашу Фрешку розовое сухое 0,75 л",,НЕТ,НЕТ,Португалия,Арагонеш\Каштелау,"11,5",,,,,,1599,500
,,,,,,,,,,,,,
ВИНО РОЗОВОЕ ПОЛУСУХОЕ,новая цена,Наличие,NEW,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Бриза ду Мар Винью Верде DOC розовое полусухое 0,75 л",1860,,650,Португалия,Виньяу\Амарал\Боррасал,10,,,,,,1699,550
"Вино Маре Альта Винью Верде розовое полусухое 0,75 л",1950,,700,Португалия,Виньаон\Боррасал\Эшпадейро,10,,,,,,1999,620
"Вино Галеоне Примитиво Мерло Розе Апулия розовое полусухое 0,75 л",2180,,830,Италия,Примитиво/Мерло,"12,5",,,,,,2499,750
,,,,,,,,,,,,,
ВИНО КРАСНОЕ СУХОЕ,новая цена,Наличие,NEW,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Саперави красное сухое 0,75 л",1180,,270,Россия,Саперави,11,,,,,,1199,250
"Вино Кинта дель Дуке Виньо Тинто красное сухое 0,75 л",1590,,500,Испания,Темпранильо,11,,,,,,1499,500
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1740,,580,Грузия,Саперави,12,,,,,,1399,450
"Вино Сол де Плата Мальбек красное сухое 0,75 л",1860,,650,Аргентина,Мальбек,"13,5",,,,,,1599,570
"Вино Марселино Риоха красное сухое 0,75 л",1890,МАЛО,670,Испания,Темпранильо,"13,5",,,,,,1799,670
"Вино Саперави Бадагони красное сухое 0,75 л",2020,,740,Грузия,Саперави,13,,,,,,1699,640
"Вино Марселино Риоха Крианза красное сухое 0,75 л",2080,,770,Испания,Темпранильо,"12,5",,,,,,1999,770
"Вино Тенуте Дель Неччио Кьянти красное сухое 0,75 л",2120,,800,Италия,"Санджовезе, Мальвазия Нера, Чильеджоло",13,,,,,,1800,нет
"Вино Ультимо Бастион Бобаль Гарнача Крианца красное сухое 0,75 л",2120,,800,Испания,Бобаль\Гарнача,"12,5",,,,,,1999,800
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",2250,МАЛО,870,Испания,Темпранильо,"13,5",,,,,,2499,870
"Вино Бариста Пинотаж красное сухое 0,75 л",2470,,995,ЮАР,Пинотаж,13,,,,,,2999,1000
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3020,,1300,Испания,Темпранильо,"13,5",,,,,,3199,1300
Вино Маркес Де Касерес Крианса красное сухое 0.75,3120,,1350,Испания,Темпранильо/Гарнача/Грасиано,14,,,,,,3299,1350
"Вино Патриа Чика красное сухое 0,75 л",3210,,1400,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,,,,3499,1400
"Вино Терраш де Монсараш красное сухое 0,75 л",,нет в наличии,500,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,1699,650
Вино Трамонтана Апулия красное сухое,,нет,490,Италия,Санджовезе,11,,,,,,1299,400
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,НЕТ,НЕТ,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,,,,2999,1000
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,НЕТ,НЕТ,Чили,Пино Нуар,"12,5",,,,,,1899,700
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,НЕТ,НЕТ,Италия,Санджовезе,"12,5",,,,,,1999,770
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,NEW,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Кахури Гвинис Марани Алазанская Долина красное полусладкое 0,75 л",1510,,450,Грузия,Саперави,12,,,,,,1199,320
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1510,,450,ЮАР,Пинотаж,"13,5",,,,,,1399,450
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1660,,540,Грузия,Саперави,11,,,,,,1699,540
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1680,,550,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,1799,550
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1750,,590,Грузия,Саперави,12,,,,,,1599,530
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",1930,,690,Грузия,Саперави,12,,,,,,1999,600
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2210,,840,Грузия,Саперави,11,,,,,,2499,630
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2670,,1100,Грузия,Саперави,12,,,,,,2999,1000
Вино Трамонтана Апулия красное полусладкое,,нет,490,Италия,Санджовезе,"10,5",,,,,,1299,400
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",,НЕТ,НЕТ,Грузия,Саперави,"11,5",,,,,,1499,500
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,NEW,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1510,,450,Грузия,Саперави,"11,5",,,,,,1299,400
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",1890,МАЛО,670,Италия,Монтепульчано,13,,,,,,1999,770
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2010,,730,Италия,Негроамаро,13,,,,,,1699,650
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2010,МАЛО,730,Италия,Примитиво\Негроамаро,15,,,,,,1899,730
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2080,,770,Италия,Примитиво,"13,5",,,,,,1799,700
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2250,,870,Италия,Монтепульчано,13,,,,,,1999,770
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2250,,870,Италия,Неро д'Авола,13,,,,,,2599,870
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2310,,900,Италия,Ува Лонганези,"13,5",,,,,,2799,900
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2310,,900,Италия,Примитиво,14,,,,,,2499,850
"Вино Баррелая красное полусухое 0,75 л",2490,,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,3199,1000
"Вино Кьянти Ризерва красное полусухое 0,75 л",2540,,1030,Италия,Санджовезе\Мерло,13,,,,,,2999,950
"Вино Неро ди Тройя красное полусухое 0,75 л",2850,,1200,Италия,Неро ди Троя,15,,,,,,3399,1200
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",2910,,1230,Италия,Монтепульчано,"13,5",,,,,,3299,1100
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3020,,1300,Италия,Сузуманьелло,"14,5",,,,,,3499,1300
Вино ВайНот?! IGP красное полусухое,3210,,1400,Италия,Зинфандель,15,,,,,,3599,1400
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,НЕТ,НЕТ,Франция,Пино Нуар,14,,,,,,2399,850
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",,НЕТ,НЕТ,Германия,Пино Нуар,"12,5",,,,,,2899,950
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,НЕТ,НЕТ,ЮАР,Пинотаж,"13,5",,,,,,1499,470
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,НЕТ,НЕТ,Италия,Санджовезе\Мерло,"13,5",,,,,,1599,500
,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1390,,390,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1510,,450,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",1660,,540,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,
