Калининград,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
Вино Макуту Бей Совиньон Блан белое полусухое ,2750,1200,1150,Новая Зеландия,Совиньон Блан,12,,,,,,2499,1000
"Вино Терра де Оро Шардоне белое полусухое 0,75 л",,нет,470,Чили,Шардоне,13,,,,,,1199,470
,,,,,,,,,,,,,
ВИНО РОЗОВОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Бродлиф Совиньон Блан розовое сухое 0,75 л",1860,650,630,ЮАР,Совиньон Блан\Пино Нуар,"12,5",,,,,,1799,570
"Вино Розато Тоскана Тенуте Россетти розовое сухое 0,75 л",,НЕТ,800,Италия,Санджовезе\Мерло,"12,5",,,,,,1999,800
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья розовое сухое 0,75 л",,НЕТ,нет,Испания,Бобаль,12,,,,,,1499,500
,,,,,,,,,,,,,
ВИНО РОЗОВОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Бриза ду Мар Винью Верде DOC розовое полусухое 0,75 л",1860,650,650,Португалия,Виньяу\Амарал\Боррасал,10,,,,,,1599,520
"Вино Маре Альта Винью Верде розовое полусухое 0,75 л",2000,790,700,Португалия,Виньаон\Боррасал\Эшпадейро,10,,,,,,1799,620
"Вино Галеоне Примитиво Мерло Розе Апулия розовое полусухое 0,75 л",2180,850,830,Италия,Примитиво/Мерло,"12,5",,,,,,1999,750
,,,,,,,,,,,,,
ВИНО КРАСНОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Сол де Плата Мальбек красное сухое 0,75 л",1860,650,650,Аргентина,Мальбек,"13,5",,,,,,1399,570
"Вино Тенуте Дель Неччио Кьянти красное сухое 0,75 л",2120,800,800,Италия,"Санджовезе, Мальвазия Нера, Чильеджоло",13,,,,,,1700,
"Вино Саперави Бадагони красное сухое 0,75 л",2200,800,800,Грузия,Саперави,13,,,,,,1599,730
"Вино Бариста Пинотаж красное сухое 0,75 л",2670,1200,1100,ЮАР,Пинотаж,13,,,,,,2199,970
"Вино Патриа Чика красное сухое 0,75 л",3210,1400,1400,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,,,,2999,1400
"Вино Ультимо Бастион Бобаль Гарнача Крианца красное сухое 0,75 л",1950,нет,800,Испания,Бобаль\Гарнача,"12,5",,,,,,1799,800
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",2800,нет,1300,Испания,Темпранильо,"13,5",,,,,,2299,1300
Вино Маркес Де Касерес Крианса красное сухое 0.75,2890,нет,1350,Испания,Темпранильо/Гарнача/Грасиано,14,,,,,,2499,1350
"Вино Марселино Риоха красное сухое 0,75 л",1730,нет,670,Испания,Темпранильо,"13,5",,,,,,1499,670
"Вино Марселино Риоха Крианза красное сухое 0,75 л",1910,нет,770,Испания,Темпранильо,"12,5",,,,,,1699,770
"Вино Кинта дель Дуке Виньо Тинто красное сухое 0,75 л",1450,нет,500,Испания,Темпранильо,11,,,,,,1299,490
Вино Трамонтана Апулия красное сухое,,нет,500,Италия,Санджовезе,11,,,,,,1299,500
"Вино Саперави Тамариони красное сухое 0,75 л",,нет,нет,Грузия,Саперави,11,,,,,,1199,440
"Вино Терраш де Монсараш красное сухое 0,75 л",,нет,нет,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,1499,650
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,нет,нет,Чили,Пино Нуар,"12,5",,,,,,1599,700
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,нет,нет,Италия,Санджовезе,"12,5",,,,,,1699,770
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",,нет,нет в наличии,Испания,Темпранильо,"13,5",,,,,,1999,870
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,нет ,нет ,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,,,,2099,950
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1590,500,500,Грузия,Саперави,11,,,,,,1199,350
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1680,550,550,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,1699,550
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1810,620,620,Грузия,Саперави,12,,,,,,1599,530
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1850,650,600,Грузия,Саперави,12,,,,,,1599,530
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2350,920,920,Грузия,Саперави,11,,,,,,1999,830
"Плодовая алкогольная продукция Майрени полусладкая гранатовая 0,75 л",1280,нет,400,Армения,,12,,,,,,1299,400
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2470,нет,1100,Грузия,Саперави,12,,,,,,2499,990
Вино Трамонтана Апулия красное полусладкое,,нет,500,Италия,Санджовезе,"10,5",,,,,,1499,500
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",,нет,450,ЮАР,Пинотаж,"13,5",,,,,,1399,450
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",,нет ,нет,Грузия,Саперави,"11,5",,,,,,1499,490
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",,нет,нет,Грузия,Саперави,12,,,,,,1799,600
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1580,490,450,Грузия,Саперави,"11,5",,,,,,1399,530
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2040,750,730,Италия,Негроамаро,13,,,,,,1699,650
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2120,800,790,Италия,Примитиво,"13,5",,,,,,1500,нет в наличии
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2310,900,870,Италия,Монтепульчано,13,,,,,,1899,770 (мало)
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2250,870,870,Италия,Неро д'Авола,13,,,,,,1999,870 (мало)
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2390,950,930,Италия,Примитиво,14,,,,,,1999,850 (мало)
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2310,900,900,Италия,Ува Лонганези,"13,5",,,,,,2099,900 (мало)
"Вино Зибенштейн Пино Нуар Пфальц красное полусухое 0,75 л",2390,950,950,Германия,Пино Нуар,"12,5",,,,,,2199,950 (мало)
"Вино Баррелая красное полусухое 0,75 л",2490,1000,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,2299,1000 (мало)
"Вино Бастиони Делла Рокка Примитиво ди Мандурия красное полусухое 0,75 л",2500,1000,700,Италия,Примитиво\Негроамаро,15,,,,,,1799,730 (мало)
"Вино Кьянти Ризерва красное полусухое 0,75 л",2670,1100,1100,Италия,Санджовезе\Мерло,13,,,,,,2199,950 (мало)
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2130,нет,899,Италия,Монтепульчано,13,,,,,,1600,нет в наличии
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",2800,нет,1300,Италия,Монтепульчано,"13,5",,,,,,2399,1100 (мало)
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",2800,нет,1300,Италия,Сузуманьелло,"14,5",,,,,,2699,1300 (мало)
Вино ВайНот?! IGP красное полусухое,2970,нет,1400,Италия,Зинфандель,15,,,,,,2799,1400 (мало)
"Вино Неро ди Тройя красное полусухое 0,75 л",,нет,1200,Италия,Неро ди Троя,15,,,,,,2499,1200 (мало)
"Вино Гипфельклеттерн Блауер Цвайгельт красное полусухое 0,75 л",,нет,нет,Австрия,Блауер Цвайгельт,12,,,,,,1499,570
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,нет,нет,ЮАР,Пинотаж,"13,5",,,,,,1599,580
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,нет,нет,Франция,Пино Нуар,14,,,,,,1999,850 (мало)
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет,Италия,Санджовезе\Мерло,"13,5",,,,,,1500,нет в наличии
,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1840,640,600,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1880,660,580,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",2120,800,800,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2290,нет,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,
,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка ПЯТЬ ОЗЕР 40% 0,5Л",1540,470,350,,,,,,,,,999,350
"Водка Тундра Аутентик 0,5",1520,460,390,,,,,,,,,999,370
"Водка ХАСКИ АРКТИК АЙС 40% 0,5Л",1600,505,420,,,,,,,,,999,350
"Водка ХАСКИ 40% 0,5Л",1650,505,430,,,,,,,,,999,370
"Водка Зимняя деревенька на солодовом спирте 0,5",1520,460,450,,,,,,,,,1099,400
"Водка Белая Березка 0,5",1760,595,480,,,,,,,,,1099,430
"Водка Русский Стандарт Голд 0,5",1860,650,500,,,,,,,,,1099,470
"Водка МАМОНТ 40% 0,5Л",2870,1215,1200,,,,,,,,,1999,950
"Водка Чистые росы из ржаного зерна 0,5",3250,1420,1300,,,,,,,,,2399,1200
"Водка ОРГАНИКА 40% П/УП. 0,5Л + КНИГА",1670,нет,630,,,,,,,,,2199,1050
"Водка БЕЛЕНЬКАЯ ЗОЛОТАЯ НА СПИРТЕ АЛЬФА 40% 0,5Л",,нет,364,,,,,,,,,999,315
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",,нет,900,,,,,,,,,2199,1000
"Водка АБСОЛЮТ 40% 0,5Л",,нет,нет,,,,,,,,,2499,1500
,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка ХАСКИ 40% 0,7Л",1940,695,430,,,,,,,,,1199,500
"Водка Зимняя Деревенька на солодовом спирте  0,7",1830,635,570,,,,,,,,,1299,500
"Водка Тундра Аутентик 0,7",1810,623,630,,,,,,,,,1299,550
"Водка Белая Березка  0,7",2020,740,690,,,,,,,,,1300,
"Водка Русский Стандарт  0,7",2120,800,800,,,,,,,,,1399,640
"Водка Дикий мед классика туба 0,7 л",2240,860,800,,,,,,,,,1399,680
"Водка БЕЛУГА ТРАНСАТЛАНТИК РЕЙСИНГ 40% 0,7Л",4320,2020,2020,,,,,,,,,2799,1650
"Водка ОРГАНИКА ЛАЙФ 40% П/УП. 0,7Л",3260,нет,1574,,,,,,,,,2299,1150
"Водка Чистые Росы 40% 0,7л ПУ Россия",3800,нет,1890,,,,,,,,,2799,1600
"Водка Грей Гуз 0,7 л",5680,нет,3000,,,,,,,,,4999,3150
"Водка ФИНЛЯНДИЯ 40% 0,7Л",,нет,1550,,,,,,,,,2700,
