Нижний Новгород,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,цена,,закуп
"Вино Зибенштейн Рислинг Пфальц белое полусухое 0,75 л",2520,,950,Германия,Рислинг,12,,,,,,,,,,,,,,,,1900,,890
"Вино Зибенштейн Совиньон Блан Пфальц белое полусухое 0,75 л",2520,мало,950,Германия,Совиньон Блан,"12,5",,,,,,,,,,,,,,,,1900,,890
"Вино Примо Фиоре Фамозо белое полусухое 0,75 л",2540,МАЛО,960,Италия,Фамозо,"12,5",,,,,,,,,,,,,,,,1900,,950
Вино Макуту Бей Совиньон Блан белое полусухое ,2890,средне,1150,Новая Зеландия,Совиньон Блан,12,,,,,,,,,,,,,,,,2100,,1000
,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО РОЗОВОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,цена,,закуп
"Вино Бродлиф Совиньон Блан розовое сухое 0,75 л",1920,,630,ЮАР,Совиньон Блан\Пино Нуар,"12,5",,,,,,,,,,,,,,,,1700,,550
"Вино Розато Тоскана Тенуте Россетти розовое сухое 0,75 л",2240,МАЛО,800,Италия,Санджовезе\Мерло,"12,5",,,,,,,,,,,,,,,,1900,,800
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья розовое сухое 0,75 л",,нет,не продается,Испания,Бобаль,12,,,,,,,,,,,,,,,,1500,,500 
"Вино жемчужное Кашу Фрешку розовое сухое 0,75 л",,нет,не продается,Португалия,Арагонеш\Каштелау,"11,5",,,,,,,,,,,,,,,,1600,,500
,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО РОЗОВОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,цена,,закуп
"Вино Маре Альта Винью Верде розовое полусухое 0,75 л",2060,,700,Португалия,Виньаон\Боррасал\Эшпадейро,10,,,,,,,,,,,,,,,,1700,,670
"Вино Бриза ду Мар Винью Верде DOC розовое полусухое 0,75 л",2240,,800,Португалия,Виньяу\Амарал\Боррасал,10,,,,,,,,,,,,,,,,1600,,560
"Вино Галеоне Примитиво Мерло Розе Апулия розовое полусухое 0,75 л",2240,средне,800,Италия,Примитиво/Мерло,"12,5",,,,,,,,,,,,,,,,1900,,770
,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО КРАСНОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,цена,,закуп
"Вино Саперави красное сухое 0,75 л",1680,,500,Россия,Саперави,11,,,,,,,,,,,,,,,,1200,,250
"Вино Кинта дель Дуке Виньо Тинто красное сухое 0,75 л",1680,,500,Испания,Темпранильо,11,,,,,,,,,,,,,,,,1300,,490
"Вино Сол де Плата Мальбек красное сухое 0,75 л",1960,,650,Аргентина,Мальбек,"13,5",,,,,,,,,,,,,,,,1500,,650
