САМАРА,новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
Вино Трамонтана Сицилия белое полусладкое,,нет,490,Италия,Треббьяно,,,400,,,,,,,,,,,1000,,,,,,,,,,,,,
"Вино Tabla Алазанская Долина белое полусладкое 0,75 л",,НЕТ,НЕТ,Грузия,Ркацители\Цоликоури,,,350,,,,,,,,,,,1400,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Вино Терра де Оро Шардоне белое полусухое 0,75 л",1650,очень мало,470,Чили,Шардоне,,,470,,,,,,,,,,,1500,,,,,,,,,,,,,
"Вино Вилла Анна Пино Гриджио белое полусухое 0,75 л",1650,,620,Италия,Пино Гриджио,,,550,,,,,,,,,,,1500,,,,,,,,,,,,,
Вино Маре Альта Винью Верде DOC белое полусухое,1790,,700,Португалия,"Аринто/Падерна, Лоурейро",,,620,,,,,,,,,,,1600,,,,,,,,,,,,,
Вино Лизард Рислинг Трокен белое полусухое,1950,,800,Германия,Рислинг,,,800,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино Вейнцунфт Рислинг Мозель белое полусухое 0,75 л",2010,,830,Германия,Рислинг,,,770,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино Примо Фиоре Фамозо белое полусухое 0,75 л",2130,,900,Италия,Фамозо,,,900,,,,,,,,,,,1900,,,,,,,,,,,,,
"Вино Зибенштейн Совиньон Блан Пфальц белое полусухое 0,75 л",2200,,950,Германия,Совиньон Блан,,,950,,,,,,,,,,,1900,,,,,,,,,,,,,
"Вино Зибенштейн Рислинг Пфальц белое полусухое 0,75 л",2250,,970,Германия,Рислинг,,,950,,,,,,,,,,,1900,,,,,,,,,,,,,
Вино Макуту Бей Совиньон Блан белое полусухое ,2550,,1150,Новая Зеландия,Совиньон Блан,,,1000,,,,,,,,,,,2100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО РОЗОВОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Вино Бродлиф Совиньон Блан розовое сухое 0,75 л",2180,,630,ЮАР,Совиньон Блан\Пино Нуар,,,590,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино жемчужное Кашу Фрешку розовое сухое 0,75 л",2040,,670,Португалия,Арагонеш\Каштелау,,,500,,,,,,,,,,,1600,,,,,,,,,,,,,
"Вино Розато Тоскана Тенуте Россетти розовое сухое 0,75 л",2420,,800,Италия,Санджовезе\Мерло,,,800,,,,,,,,,,,1900,,,,,,,,,,,,,
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья розовое сухое 0,75 л",,нет,нет,Испания,Бобаль,,,900,,,,,,,,,,,1500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО РОЗОВОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Вино Бриза ду Мар Винью Верде DOC розовое полусухое 0,75 л",2040,,650,Португалия,Виньяу\Амарал\Боррасал,,,540,,,,,,,,,,,1600,,,,,,,,,,,,,
