САМАРА,новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Виски Джемесон не менее 3 лет купажир. 0,75",5040,,2300,,,,,2000,,,,,,,,,,,3999,,,,,,,,,,,,,
"Виски Джим Бим Эппл 0,7 л",5230,,2400,,,,,1500,,,,,,,,,,,4100,,,,,,,,,,,,,
"Нап.спиртной Джим Бим Пич 0,7 л",5230,,2400,,,,,2799,,,,,,,,,,,3399,,,,,,,,,,,,,
"Напиток спиртной Джим Бим Блэк Черри 0,7 л",5230,,2400,,,,,2799,,,,,,,,,,,3399,,,,,,,,,,,,,
"Спиртной напиток на осн. односолодового виски ПОУГС МЕДОВЫЙ 35% 0,7Л",5230,бристоль,2400,,,,,1550,,,,,,,,,,,3399,,,,,,,,,,,,,
"Виски Гранжстоун бурбон каск финиш п/к 0,7 л",7440,,2700,,,,,3000,,,,,,,,,,,5899,,,,,,,,,,,,,
"Спиртной напиток на основе виски ДЖЕМЕСОН АПЕЛЬСИН 30% 0,7Л",5970,,2800,,,,,1950,,,,,,,,,,,3200,,,,,,,,,,,,,
"Виски шотл. купаж. ДЖОННИ УОКЕР БЛЭК ЛЕЙБЛ 12 ЛЕТ 40% (П/УП./) 0,7",6820,,3000,,,,,3000,,,,,,,,,,,5499,,,,,,,,,,,,,
"Виски Джонни Уокер Блэк Лейбл 12 лет 0,7 л ",6350,,3000,,,,,3000,,,,,,,,,,,4899,,,,,,,,,,,,,
"Виски Мэйкерс Марк 0,7 л",7280,,3500,,,,,3300,,,,,,,,,,,5599,,,,,,,,,,,,,
"Виски Дюарс Спешиал Резерв 12 лет шотландский купажированный 0,7 л",8020,,3900,,,,,3500,,,,,,,,,,,5299,,,,,,,,,,,,,
"Виски купажированный ХАТОЗАКИ 3 ГОДА 40% 0,7Л",8220,бристоль,4000,,,,,3000,,,,,,,,,,,5000,,,,,,,,,,,,,
"Виски шотландский ЧИВАС РИГАЛ 12 ЛЕТ 40% П/УП. 0,7Л",8220,,4000,,,,,3200,,,,,,,,,,,4900,,,,,,,,,,,,,
"Виски шотландский ЧИВАС РИГАЛ 18 ЛЕТ 40% П/УП. 0,7Л ",21280,мало кб,11000,,,,,10100,,,,,,,,,,,12500,,,,,,,,,,,,,
"Виски шотландский МАКАЛЛАН ДАБЛ КАСК ГОЛД 12лет 40% П/УП. 0,7Л",22570,,11700,,,,,10600,,,,,,,,,,,16000,,,,,,,,,,,,,
Виски Джим Бим Рай зерновой 0.7л,,нет ,нет ,,,,,2100,,,,,,,,,,,5100,,,,,,,,,,,,,
"Виски ирландский ПОУГС купажированный 40% 0,7Л",,нет,нет ,,,,,1450,,,,,,,,,,,3299,,,,,,,,,,,,,
"Виски ирландский односолодовый ПОУГС мята и лайм 40% 0,7Л",,нет,нет,,,,,1900,,,,,,,,,,,3799,,,,,,,,,,,,,
"Спиртной напиток на основе виски ДЖЕМЕСОН ИМБИРЬ И ЛАЙМ 30% 0,7Л",,нет,нет,,,,,2290,,,,,,,,,,,3000,,,,,,,,,,,,,
"Виски Джонни Уокер Голд Лейбл 0,7 л ",,нет,нет,,,,,7650,,,,,,,,,,,12499,,,,,,,,,,,,,
"Спиртной напиток ДЖЕК ДЭНИЕЛС ТЕННЕССИ ФАЭР 35% 0,7Л",,нет,нет,,,,,1600,,,,,,,,,,,3099,,,,,,,,,,,,,
"Виски Балвэни Даблвуд 12 лет п/к 0,7 л",,нет,нет ,,,,,7200,,,,,,,,,,,11999,,,,,,,,,,,,,
"Виски Чивас Ригал 15 лет шотландский купажированный 0,75 л",,нет,нет,,,,,6300,,,,,,,,,,,10999,,,,,,,,,,,,,
Виски шотландский МАКАЛЛАН ДАБЛ КАСК ГОЛД 3 ГОДА,,нет,нет,,,,,13500,,,,,,,,,,,14000,,,,,,,,,,,,,
"Спиртной напиток ДЖЕК ДЭНИЕЛС ТЕННЕССИ ХАНИ ЛИКЕР 35% 0,7Л",,нет,нет,,,,,нет в наличии,,,,,,,,,,,3999,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВИСКИ 0,7л",новая цена,Наличие,New,,,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
Виски (бурбон) Джим Бим 4 года зерновой 1 л,5600,,2600,,,,,3600,,,,,,,,,,,4500,,,,,,,,,,,,,
Виски Джек Дениел`сТеннесси 1л,7280,,3500,,,,,3290,,,,,,,,,,,4700,,,,,,,,,,,,,
виски Джонни Уокер Рэд Лейбл 1л,,нет,нет ,,,,,2100,,,,,,,,,,,3400,,,,,,,,,,,,,
Виски шотландский ЧИВАС РИГАЛ 12 ЛЕТ 40% П/УП. 1Л,,нет,нет,,,,,4500,,,,,,,,,,,6700,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КОНЬЯК 0,5л",новая цена,Наличие,New,,,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Коньяк ординарный Армянский Коньяк 5 лет 0,5 л",1960,,651,,,,,560,,,,,,,,,,,1200,,,,,,,,,,,,,
Бренди Кизлярский Молодой 0.5л,1980,,660,,,,,540,,,,,,,,,,,1499,,,,,,,,,,,,,
"Коньяк Кочари 5 лет 0,5",2060,,700,,,,,650,,,,,,,,,,,1400,,,,,,,,,,,,,
"Коньяк Старейшина 5 лет 0,5",2120,,730,,,,,700,,,,,,,,,,,1500,,,,,,,,,,,,,
"Коньяк Фанагория 5 лет 0,5 л",2150,,750,,,,,650,,,,,,,,,,,1300,,,,,,,,,,,,,
"Коньяк Фазерс Олд Баррель не менее 5 лет 0,5 л",2170,,760,,,,,600,,,,,,,,,,,1300,,,,,,,,,,,,,
"Коньяк Армянский Кочари 7 лет подарочный п/к 0,5",2340,,850,,,,,700,,,,,,,,,,,1600,,,,,,,,,,,,,
"Коньяк Кочари 10 лет п/к 0,5 л",2430,,900,,,,,800,,,,,,,,,,,1699,,,,,,,,,,,,,
Коньяк Старейшина 7 лет 0.5,2430,,900,,,,,800,,,,,,,,,,,1800,,,,,,,,,,,,,
"Коньяк Ной Традиционный 5 лет 0,5",2430,,900,,,,,800,,,,,,,,,,,1600,,,,,,,,,,,,,
"Коньяк армянский Торум 10 лет туба 0,5 л",2890,,1100,,,,,1100,,,,,,,,,,,2299,,,,,,,,,,,,,
"Коньяк Армянский Арарат 5 лет п/к 0,5",3170,,1300,,,,,1490,,,,,,,,,,,1800,,,,,,,,,,,,,
Бренди Торрес 10 лет Гран Резерва 0.5,3170,,1300,,,,,1700,,,,,,,,,,,2300,,,,,,,,,,,,,
"Коньяк Асканели ВС 5 лет п/к 0,5 л",3370,,1400,,,,,1200,,,,,,,,,,,2599,,,,,,,,,,,,,
"Коньяк Дю Бюиссон VS п/к 0,5 л",4390,,1700,,,,,1700,,,,,,,,,,,3499,,,,,,,,,,,,,
"Коньяк Арарат АНИ КВ п/к 0,5 л",4370,,1800,,,,,1700,,,,,,,,,,,3499,,,,,,,,,,,,,
"Коньяк Рулле ВС Де Люкс ординарный трехлетний п/к 0,5 л",5040,,2300,,,,,2100,,,,,,,,,,,3999,,,,,,,,,,,,,
"Коньяк А.ДЕ Фуссиньи Селексьон Коллексьон туба 0,5 л",6280,,2400,,,,,2300,,,,,,,,,,,4999,,,,,,,,,,,,,
"Коньяк Арарат Ахтамар 10 лет п/к 0,5 л",6450,,2800,,,,,2800,,,,,,,,,,,5199,,,,,,,,,,,,,
"Коньяк КУРВУАЗЬЕ ВС 40% 0,5Л",7780,бристоль,3000,,,,,4000,,,,,,,,,,,6200,,,,,,,,,,,,,
"Коньяк КУРВУАЗЬЕ ВСОП 40% П/УП. 0,5Л",9330,,4600,,,,,4500,,,,,,,,,,,5900,,,,,,,,,,,,,
"Коньяк армянский очень старый ОС НАИРИ 20 ЛЕТ 40% П/УП. 0,5Л",11200,,5600,,,,,5600,,,,,,,,,,,6200,,,,,,,,,,,,,
Коньяк А.де Фуссиньи ХО п/к 0.5,15670,,8000,,,,,7300,,,,,,,,,,,9999,,,,,,,,,,,,,
"Коньяк армянский старый КС ВАСПУРАКАН 15 ЛЕТ 40% П/УП. 0,5Л",,нет,нет,,,,,4000,,,,,,,,,,,5000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КОНЬЯК 0,7л",новая цена,Наличие,New,,,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Коньяк Асканели ВСОП 7 лет п/к 0,7 л",4370,,1800,,,,,1700,,,,,,,,,,,3499,,,,,,,,,,,,,
"Бренди Делор Фрер V.S.O.P п/к 0,7 л",6500,,2600,,,,,2500,,,,,,,,,,,5199,,,,,,,,,,,,,
"Бренди КОНЬЯК КУРВУАЗЬЕ ВС 40% 0,7Л",7530,,4000,,,,,5300,,,,,,,,,,,6200,,,,,,,,,,,,,
"Коньяк КУРВУАЗЬЕ ВСОП 40% П/УП. 0,7Л ",9500,мало,6000,,,,,7600,,,,,,,,,,,8000,,,,,,,,,,,,,
"Коньяк КУРВУАЗЬЕ ХО 40% П/УП. 0,7Л ",27750,,21000,,,,,20000,,,,,,,,,,,24000,,,,,,,,,,,,,
"Коньяк КУРВУАЗЬЕ ФОНТЕНБЛО КАСКС 3 ГОДА 40% П/УП. 0,7Л",,нет,нет,,,,,7450,,,,,,,,,,,8200,,,,,,,,,,,,,
"Коньяк ординарный ХЕННЕССИ ВСОП ПРИВИЛЕЖ 4 ГОДА 40% П/УП. 0,7Л",,нет,нет,,,,,9000,,,,,,,,,,,10200,,,,,,,,,,,,,
"Коньяк Реми Мартан ХО 40% П/УП. 0,7Л ",,нет,нет,,,,,-?,,,,,,,,,,,25000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
РОМ 0.5л,новая цена,Наличие,New,,,,,,,,,цена,закуп,,,,,,,,,,,,,,,,,,,
"Ром Капитан Жан Лафитт дарк 0,5 л",1680,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,5",2430,"бристоль,кб",900,,,,,1020,,,,,,,,,,,1700,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РОМ 0,7л",новая цена,Наличие,New,,,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Ром Мама Джама Блэк выдержанный 0,7 л",2060,,700,,,,,1056,,,,,,,,,,,1599,,,,,,,,,,,,,
"Ром Блэк Пирл Дарк 0,7 л",2610,,1000,,,,,1000,,,,,,,,,,,1900,,,,,,,,,,,,,
"Ром Блэк Пирл Уайт 0,7 л",2610,,1000,,,,,1000,,,,,,,,,,,1900,,,,,,,,,,,,,
"Ром выдержанный Сангсом в п/к 0,7 л",3170,,1300,,,,,1200,,,,,,,,,,,2399,,,,,,,,,,,,,
"Ром БАРСЕЛО АНЬЕХО ВЫДЕРЖАННЫЙ 37,5-40% ТЕМН. 0,7Л",3920,,1700,,,,,2000,,,,,,,,,,,2300,,,,,,,,,,,,,
Ром Напиток спиртной Captain Morgan Spiced Gold 0.7 л,3920,,1700,,,,,1200,,,,,,,,,,,2499,,,,,,,,,,,,,
Контрабандо 5 лет 0.7л,4730,"кб,лента",2000,,,,,2900,,,,,,,,,,,3799,,,,,,,,,,,,,
"Ром Бругал Аньехо Супериор 0,7 л",5620,,2300,,,,,2200,,,,,,,,,,,4499,,,,,,,,,,,,,
"Ром Ботран №8 Ризерва Классика 40% п/к 0,7 л",5600,,2600,,,,,,,,,,2900,,,,,,,,,,,,,,,,,,,
"Ром Matusalem Solera 7 лет, 0.7л",5970,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ром Закапа Юбилейный 23 года п/к 0,7 л",13810,,7000,,,,,6050,,,,,,,,,,,8900,,,,,,,,,,,,,
"Ром Закапа XO п/к 0,7 л",19410,,10000,,,,,10000,,,,,,,,,,,14999,,,,,,,,,,,,,
Гавана Клуб Аньехо 3 года 0.7л,5420,нет,2500,,,,,2500,,,,,,,,,,,3499,,,,,,,,,,,,,
Ром Дэд Мэн'с Фингерс  (белый) 0.7л,3450,нет,1450,,,,,1450,,,,,,,,,,,2100,,,,,,,,,,,,,
Ром Дэд Мэн'с Фингерс пряный (черный) 0.7л,4420,нет,1600,,,,,1150,,,,,,,,,,,3500,,,,,,,,,,,,,
"Набор Оакхарт Ориджинал Спайс Голд+2 банки Rich Cola 0,7 л",,нет,1500,,,,,1499,,,,,,,,,,,2699,,,,,,,,,,,,,
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,7",,нет,нет,,,,,1199,,,,,,,,,,,2000,,,,,,,,,,,,,
"Ром выдержанный БАРСЕЛО АНЬЕХО 37,5-40% 0,7Л",,нет,нет,,,,,1750,,,,,,,,,,,2000,,,,,,,,,,,,,
Ром Дэд Мэн'с Фингерс манго (желтый) 0.7л,,нет,нет,,,,,1000,,,,,,,,,,,2300,,,,,,,,,,,,,
Ром КАПИТАН МОРГАН ПРЯНЫЙ ЗОЛОТОЙ 35% 0.5л,,нет,нет,,,,,890,,,,,,,,,,,2200,,,,,,,,,,,,,
"Напиток на основе рома КАПИТАН МОРГАН ЧЕРНЫЙ ПРЯНЫЙ 40% 0,7Л",,нет,нет,,,,,1450,,,,,,,,,,,3999,,,,,,,,,,,,,
"Ром невыдержанный ПЛАНТЕЙШН ТРИ ЗВЕЗДЫ 41,2% 0,7Л",,нет,нет,,,,,нет в наличии,,,,,,,,,,,2600,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТЕКИЛА,новая цена,Наличие,New,,,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Коктейль Альта Коста Сильвер с текилой 0,5 л",1680,,450,,,,,400,,,,,,,,,,,1299,,,,,,,,,,,,,
"Хосе Куэрво, Эспесьяль Репосадо 0.75 л",5140,,2350,,,,,2290,,,,,,,,,,,3500,,,,,,,,,,,,,
"Текила Хосе Куэрво Эспесиаль Сильвер 38% 0,7л",5420,,2500,,,,,2490,,,,,,,,,,,3000,,,,,,,,,,,,,
Текила Olmeca Blanco 0.7 л,5600,,2600,,,,,500,,,,,,,,,,,3900,,,,,,,,,,,,,
"Текила Эсполон РЕПОСАДО 0,75 л",6350,,3000,,,,,3300,,,,,,,,,,,4000,,,,,,,,,,,,,
"Текила Эсполон Бланко 0,75 л",7280,,3500,,,,,3490,,,,,,,,,,,3900,,,,,,,,,,,,,
"Текила Эсполон Аньехо 0,75 л",8480,,3500,,,,,4000,,,,,,,,,,,6799,,,,,,,,,,,,,
"Текила Ла Тременда 0,7 л",,нет,нет,,,,,1000,,,,,,,,,,,2499,,,,,,,,,,,,,
"Спиртной напиток ТЕКИЛА СИЕРРА РЕПОСАДО 38% 0,5Л",,нет,нет,,,,,1050,,,,,,,,,,,3300,,,,,,,,,,,,,
Текила Индиана Мехико 0.7л,,нет,нет,,,,,1400,,,,,,,,,,,2799,,,,,,,,,,,,,
"Спиртной напиток ТЕКИЛА АСИЕНДА ВЬЕХА БЛАНКО 40% 0,75Л",,нет,нет,,,,,1950,,,,,,,,,,,4000,,,,,,,,,,,,,
"Спиртной напиток ТЕКИЛА АСИЕНДА ВЬЕХА РЕПОСАДО 40% 0,75Л",,нет,нет,,,,,2000,,,,,,,,,,,4000,,,,,,,,,,,,,
Текила Olmeca gold 1 л,,нет,нет,,,,,3350,,,,,,,,,,,4199,,,,,,,,,,,,,
"Спиртной напиток ТРЕС ОЧОС ТЕКИЛА БЛАНКО 38% 0,7Л",,нет,нет,,,,,нет в наличии,,,,,,,,,,,2000,,,,,,,,,,,,,
"ТЕКИЛА СИЛЬВЕР ЛА МИСЬОН ДЕЛЬ СИГЛО 21  0,75Л",,нет,нет,,,,,нет в наличии,,,,,,,,,,,3600,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДЖИН,новая цена,Наличие,New,,,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Джин Фримен 40% 0,5л.",1560,,370,,,,,350,,,,,,,,,,,1199,,,,,,,,,,,,,
"Джин Фримен Пинк 40% 0,5л.",1560,,370,,,,,350,,,,,,,,,,,1199,,,,,,,,,,,,,
"Джин БРИСТОЛЛС 40% 0,5Л",1790,бристоль ,550,,,,,500,,,,,,,,,,,1400,,,,,,,,,,,,,
"Джин БАРРИСТЕР ДРАЙ/БЛЮ 40% 0,5Л",1790,,560,,,,,460,,,,,,,,,,,1400,,,,,,,,,,,,,
"Джин БРИСТОЛЛС 40% 0,7Л",2150,бристоль ,750,,,,,700,,,,,,,,,,,1600,,,,,,,,,,,,,
"Джин ГИБСОН'С ЛОНДОН ДРАЙ 37,5% 0,7Л",3550,бристоль ,1500,,,,,790,,,,,,,,,,,1800,,,,,,,,,,,,,
Джин Gordon's London Dry Gin 0.7 л,4480,бристоль ,2000,,,,,1980,,,,,,,,,,,2799,,,,,,,,,,,,,
"Спиртной напиток на основе джина ГОРДОНС ПИНК 37,5% 0,7Л",,нет,нет,,,,,1350,,,,,,,,,,,3000,,,,,,,,,,,,,
"Джин Финч Мэджик Аладдин 0,5 л",,нет,нет,,,,,нет в наличии,,,,,,,,,,,1500,,,,,,,,,,,,,
"Джин ОуБиЭс Обсешн 0,7 л",,нет,нет,,,,,нет в наличии,,,,,,,,,,,2100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЛИКЕР,новая цена,Наличие,New,,,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Ликер Лимончелло Сан Ламаджо 0,5 л",1730,,260,,,,,260,,,,,,,,,,,1299,,,,,,,,,,,,,
"Ликер Мариба Рио сливки с ароматом ванили 0,5 л",1700,,350,,,,,270,,,,,,,,,,,1299,,,,,,,,,,,,,
"Ликер Самбука Эрнальди Классик 0,5 л",1830,,390,,,,,330,,,,,,,,,,,1399,,,,,,,,,,,,,
"Ликер Мариба Рио сливки с ароматом шоколада 0,5 л",1690,,400,,,,,270,,,,,,,,,,,1299,,,,,,,,,,,,,
Ликер Tundra bitter 0.5 л,2090,,470,,,,,420,,,,,,,,,,,1599,,,,,,,,,,,,,
"Настойка Абсент Фримен горькая 0,5 л",2060,,570,,,,,500,,,,,,,,,,,1599,,,,,,,,,,,,,
"Ликер Найт Габриелло Амаретто 0,5 л",2470,,600,,,,,700,,,,,,,,,,,1899,,,,,,,,,,,,,
"Ликер Старейшина Альпин Хани 0,5 л",2170,,700,,,,,600,,,,,,,,,,,1700,,,,,,,,,,,,,
"Лимончелло Casa Positano 0,5 л",2440,,700,,,,,700,,,,,,,,,,,1899,,,,,,,,,,,,,
"Ликер МОЦАРТ ШОКОЛАД С КЛУБНИКОЙ 15% 0,5Л",3330,мало,1380,,,,,1380,,,,,,,,,,,2200,,,,,,,,,,,,,
"Ликер МОЦАРТ ШОКОЛАДНЫЙ 17% 0,5Л",3330,мало,1380,,,,,1380,,,,,,,,,,,2200,,,,,,,,,,,,,
"Напиток спиртной Апероль (аперитив) 0,7 л",4070,,1780,,,,,1780,,,,,,,,,,,2900,,,,,,,,,,,,,
"Спиртной напиток ШЕРИДАНС ДВУХСЛОЙНЫЙ КОФЕЙНЫЙ 15,5% 0,5Л",4480,,2000,,,,,1300,,,,,,,,,,,2900,,,,,,,,,,,,,
"Ликер десертный КАМПАРИ 25% 0,75Л",4480,бристоль,2000,,,,,1800,,,,,,,,,,,2700,,,,,,,,,,,,,
"Ликер десертный ЯГЕРМАЙСТЕР 35% 0,7Л",4480,,2000,,,,,1990,,,,,,,,,,,2900,,,,,,,,,,,,,
"Ликер Куантро крепкий 0,7 л",4860,,2200,,,,,2200,,,,,,,,,,,3000,,,,,,,,,,,,,
"Ликер крепкий САМБУКА МОЛИНАРИ 40% 0,7Л",5140,бристоль,2350,,,,,1450,,,,,,,,,,,2500,,,,,,,,,,,,,
"Ликер крепкий ЛОРЕНЦО ГАСПАРИНИ САМБУКА 40% 0,5Л",,нет,700,,,,,450,,,,,,,,,,,1400,,,,,,,,,,,,,
"Ликер десертный ЛЮЛЮ СО ВКУСОМ КЛУБНИКИ И ЛАЙМА 15% 0,7Л",,нет,1000,,,,,580,,,,,,,,,,,1699,,,,,,,,,,,,,
"Ликер Найт Габриэлло Лимончелло 0,5 л",,нет,нет,,,,,700,,,,,,,,,,,1900,,,,,,,,,,,,,
Ликер Baileys Original 0.7 л,,нет,нет,,,,,2190,,,,,,,,,,,3499,,,,,,,,,,,,,
"Ликер десертный ЛОРЕНЦО ГАСПАРИНИ ЛИМОНЧЕЛЛО 30% 0,5Л",,нет,нет,,,,,нет в наличии,,,,,,,,,,,1400,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПРОСЕККО, БРЮТ",новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Вино игристое Российское Премиум белое брют 0,75 л",1320,,240,Россия,Белые сорта винограда,,,240,,,,,,,,,,,1000,,,,,,,,,,,,,
Вино игристое Шато Тамань РОЗОВОЕ брют 0.75,1430,,350,Россия,Пино Блан/Мюллер/Мускат/Саперави,,,330,,,,,,,,,,,1100,,,,,,,,,,,,,
"Газ. винный напиток Мартини Розато  8,5% роз. п\сл, ж/б 0,25 л (от 3шт)",1500,,400,Италия,,,,400,,,,,,,,,,,800,,,,,,,,,,,,,
"Газ. винный напиток Мартини Секко белый полусухой  8,5%  ж/б 0,25 л (от 3шт)",1500,,400,Италия,,,,400,,,,,,,,,,,800,,,,,,,,,,,,,
"Газ. винный напиток МАРТИНИ СЕМИ ДОЛЬЧЕ 8,5% БЕЛ. СЛ. Ж/Б 0,25Л (от 3шт)",1500,,400,Италия,,,,400,,,,,,,,,,,800,,,,,,,,,,,,,
"Вино игристое Российское Фанагория белое брют 0,75 л",1680,,500,Россия,Шардоне/Алиготе/Пино Нуар/Рислинг,,,400,,,,,,,,,,,1200,,,,,,,,,,,,,
"Вино игристое ШАТО ШУГО 10,5-11,5% РОЗ. П/СУХ. 0,75Л",1740,бристоль,530,Россия,,,,440,,,,,,,,,,,1299,,,,,,,,,,,,,
"Вино игристое Шато Тамань Сюр Ли белое экстра брют 0,75 л",1920,,590,Россия,Шардоне\Алиготе,,,570,,,,,,,,,,,1499,,,,,,,,,,,,,
"Вино игристое Брюле Cuvee белое брют 0,75 л",1920,бристьль,600,Россия,Шардоне\Пино Нуар\Мерло,,,550,,,,,,,,,,,1499,,,,,,,,,,,,,
"Вино игристое ВёВ Албан белое брют 0,75 л",1960,,650,Франция,Айрен,,,550,,,,,,,,,,,1500,,,,,,,,,,,,,
"Вино игристое Проссимо спуманте белое брют 0,75 л",2190,,770,Италия,Гарганега,,,650,,,,,,,,,,,1600,,,,,,,,,,,,,
"Вино игристое Альборес Ундуррага Брют 0,75 л",2230,,790,Чили,Шардоне\Совиньон Блан\Сира/Шираз,,,770,,,,,,,,,,,1599,,,,,,,,,,,,,
"Вино игристое Альборес Ундуррага белое полусухое 0,75 л",2230,,790,Чили,Шардоне\Совиньон Блан\Сира/Шираз,,,770,,,,,,,,,,,1599,,,,,,,,,,,,,
"Вино игристое Кава Арте Латино розовое брют 0,75 л",2270,,820,Испания,Трепат\Пино Нуар,,,700,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино игристое Мьяцци Риболла Джалла белое брют 0,75 л",2470,,920,Италия,Риболла Джалла,,,800,,,,,,,,,,,1799,,,,,,,,,,,,,
"Вино игристое Кава Доменек Винтаж белое экстра брют 0,75 л",2600,,990,Италия,Примитиво\Негроамаро,,,900,,,,,,,,,,,1999,,,,,,,,,,,,,
"Вино игристое Карлос Серрес Риоха ДОК белое брют 0,75 л",3470,,1000,Испания,Виура/Макабео\Шардоне\Темпранильо Бланко,,,1250,,,,,,,,,,,2699,,,,,,,,,,,,,
"Вино игристое Корте дей Рови Просекко Экстра Драй DOC белое сухое 0,75 л",2990,,1200,Италия,Глера/Просекко,,,1200,,,,,,,,,,,2199,,,,,,,,,,,,,
Вино игристое Мартини Брют бел.брют,3170,,1300,Италия,"Треббьяно, Шардоне",,,1200,,,,,,,,,,,2000,,,,,,,,,,,,,
Игристое вино Просекко Мартини белое сухое,3170,,1300,Италия,Глера/Просекко,,,1200,,,,,,,,,,,2000,,,,,,,,,,,,,
Вино игристое Мартини Асти бел.брют,3370,,1400,Италия,Москато,,,1190,,,,,,,,,,,2499,,,,,,,,,,,,,
"Вино игристое БИО БИО БАББЛС 11% БЕЛ. БРЮТ 0,75Л",3550,бристоль,1500,Италия,"Инзолия, Гарганега",,,1790,,,,,,,,,,,2399,,,,,,,,,,,,,
Вино игристое Мондоро Брют бел.сух,3550,,1500,Италия,Глера/Просекко,,,1390,,,,,,,,,,,2799,,,,,,,,,,,,,
Вино игристое Мондоро Просекко защ.геогр.ук.бел.сух,4020,,1750,Италия,Глера/Просекко,,,1390,,,,,,,,,,,2200,,,,,,,,,,,,,
"Вино игристое Кюве ДиПи Традишн Давид Порэ белое брют 0,75 л",5040,,2300,Франция,Шардоне/Пино Нуар/Пино Менье,,,2500,,,,,,,,,,,3900,,,,,,,,,,,,,
"Вино игристое Шампань Де Корветте Премье Крю белое брют 0,75 л",9510,,4700,Франция,Шардоне/Пино Нуар/Пино Менье,,,4700,,,,,,,,,,,6999,,,,,,,,,,,,,
"Вино игристое выдержанное Моэт и Шандон Империаль белое брют 0,75 л",15670,,8000,Франция,Шардоне/Пино Нуар/Пино Менье,,,6440,,,,,,,,,,,9000,,,,,,,,,,,,,
"Вино игристое Вдова Клико Понсардин белое брют 0,75 л",15880,,8000,Франция,Шардоне\Пино Нуар\Пино Менье,,,7940,,,,,,,,,,,12999,,,,,,,,,,,,,
"Вино игристое Villa Amalia белое брют 0,33 л (от 5шт)",,нет,нет,Россия,Ркацители\Подарок Магарача,,,130,,,,,,,,,,,300,,,,,,,,,,,,,
"Вино игристое ЭНДЕМЫ РКАЦИТЕЛИ 10,5-12,5% БЕЛ. БРЮТ 0,75Л",,нет,нет,Россия,,,,550,,,,,,,,,,,1199,,,,,,,,,,,,,
"Вино игристое Креман де Луар Домен д`Аврийе белое брют 0,75 л",,нет,нет,Франция,Шардоне\Пино Нуар\Шенен Блан,,,1300,,,,,,,,,,,3000,,,,,,,,,,,,,
"Вино игристое Шато Тамань белое брют п/к 0,75 л",,нет,нет,Россия,Пино Белый\Бианка\Алиготе\Шардоне\Рислинг,,,450,,,,,,,,,,,1399,,,,,,,,,,,,,
"Вино игристое Вальпьяна Миллезимато Экстра Драй белое брют 0,75 л",,нет,нет,Италия,Глера,,,нет в наличии,,,,,,,,,,,1500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
АСТИ,новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
Напиток винный газ. Ламбруско Розато п/сл 0.75,1120,,200,Россия,,,,200,,,,,,,,,,,800,,,,,,,,,,,,,
Напиток винный газ. Ламбруско Бьянко п/сл 0.75,1120,,200,Россия,,,,200,,,,,,,,,,,800,,,,,,,,,,,,,
"Вино игристое Российское Премиум белое полусладкое 0,75 л",1460,,240,Россия,Белые сорта винограда,,,240,,,,,,,,,,,1100,,,,,,,,,,,,,
"Вино игристое Советское Шампанское белое полусладкое 0,75 л",1440,,300,Россия,Шардоне/Совиньон Блан/Алиготе/Рислинг/Кокур,,,260,,,,,,,,,,,1100,,,,,,,,,,,,,
"Вино игристое Массимо Висконти Ламбруско белое сладкое 0,75 л",1920,,590,Италия,Ламбруско,,,500,,,,,,,,,,,1500,,,,,,,,,,,,,
