,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Терра Норте ДО Риас Байшас белое сухое 0,75 л",3550,,1500,Испания,Альбариньо,"13,5",,,,,,2500,1500
Вино Трамонтана Сицилия белое сухое,,нет,490,Италия,Треббьяно,11,,,,,,1000,350
,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Алазанская Долина Алаверди белое полусладкое 0,75 л",1680,,500,Грузия,Ркацители\Кахури Мцване,13,,,,,,1400,400
"Вино Рио Рика Москато белое полусладкое 0,75 л",1780,,550,Чили,Москато,12,,,,,,1500,540
"Вино Бадагони Алазанская Долина белое полусладкое 0,75 л",1810,,570,Грузия,Ркацители,"10,5",,,,,,1399,350
"Вино Энгельшайн Либлих белое полусладкое 0,75 л",1980,,660,Германия,Айрен\Треббьяно\Макабео,"9,5",,,,,,1600,600
"Вино Пиккола Джойа Мальвазия Рубиконе ИГТ белое полусладкое 0,75 л",2120,,730,Италия,Мальвазия,9,,,,,,1500,530
"Вино Молоко Любимой Женщины белое полусладкое 0,75 л",2150,,750,Германия,Мюллер-Тургау\Рислинг\Сильванер\Кёрнер,"9,5",,,,,,1700,700
Вино Лизард Рислинг бел.п/сл,2300,,830,Германия,Рислинг,11,,,,,,1800,820
Вино Маркес Де Касерес Сантинела Риоха DOC белое полусладкое,2610,,1000,Испания,"Мальвазия, Виура/Макабео",11.5,,,,,,2000,1000
Вино Трамонтана Сицилия белое полусладкое,,нет,490,Италия,Треббьяно,"10,5",,,,,,1000,390
"Вино Tabla Алазанская Долина белое полусладкое 0,75 л",,нет,нет,Грузия,Ркацители\Цоликоури,"11,5",,,,,,1400,470
,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Терра де Оро Шардоне белое полусухое 0,75 л",1780,мало,550,Чили,Шардоне,13,,,,,,1500,550
"Вино Вилла Анна Пино Гриджио белое полусухое 0,75 л",1960,,650,Италия,Пино Гриджио,12,,,,,,1500,590
Вино Маре Альта Винью Верде DOC белое полусухое,2120,,730,Португалия,"Аринто/Падерна, Лоурейро",10,,,,,,1600,690
Вино Лизард Рислинг Трокен белое полусухое,2340,,850,Германия,Рислинг,12,,,,,,1700,850
"Вино Вейнцунфт Рислинг Мозель белое полусухое 0,75 л",2340,,850,Германия,Рислинг,12,,,,,,1700,790
"Вино Зибенштейн Рислинг Пфальц белое полусухое 0,75 л",2600,,990,Германия,Рислинг,12,,,,,,1900,970
"Вино Зибенштейн Совиньон Блан Пфальц белое полусухое 0,75 л",2570,,970,Германия,Совиньон Блан,"12,5",,,,,,1900,970
"Вино Примо Фиоре Фамозо белое полусухое 0,75 л",2480,,930,Италия,Фамозо,"12,5",,,,,,1900,930
Вино Макуту Бей Совиньон Блан белое полусухое ,2890,,1150,Новая Зеландия,Совиньон Блан,12,,,,,,2100,1050
,,,,,,,,,,,,,
ВИНО РОЗОВОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Бродлиф Совиньон Блан розовое сухое 0,75 л",1960,,650,ЮАР,Совиньон Блан\Пино Нуар,"12,5",,,,,,1700,550
"Вино Розато Тоскана Тенуте Россетти розовое сухое 0,75 л",2240,,800,Италия,Санджовезе\Мерло,"12,5",,,,,,1900,800
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья розовое сухое 0,75 л",,нет,нет,Испания,Бобаль,12,,,,,,1500,570
"Вино жемчужное Кашу Фрешку розовое сухое 0,75 л",,нет,нет,Португалия,Арагонеш\Каштелау,"11,5",,,,,,1600,500
,,,,,,,,,,,,,
ВИНО РОЗОВОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп 
"Вино Бриза ду Мар Винью Верде DOC розовое полусухое 0,75 л",1960,,650,Португалия,Виньяу\Амарал\Боррасал,10,,,,,,1600,490
"Вино Маре Альта Винью Верде розовое полусухое 0,75 л",2120,,730,Португалия,Виньаон\Боррасал\Эшпадейро,10,,,,,,1700,670
"Вино Галеоне Примитиво Мерло Розе Апулия розовое полусухое 0,75 л",2370,,870,Италия,Примитиво/Мерло,"12,5",,,,,,1900,770
,,,,,,,,,,,,,
ВИНО КРАСНОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Саперави красное сухое 0,75 л",1290,,290,Россия,Саперави,11,,,,,,1200,250
"Вино Кинта дель Дуке Виньо Тинто красное сухое 0,75 л",1740,,530,Испания,Темпранильо,11,,,,,,1300,490
"Вино Саперави Бадагони красное сухое 0,75 л",2090,,720,Грузия,Саперави,13,,,,,,1400,590
"Вино Сол де Плата Мальбек красное сухое 0,75 л",2000,,670,Аргентина,Мальбек,"13,5",,,,,,1500,650
"Вино Марселино Риоха красное сухое 0,75 л",2030,,690,Испания,Темпранильо,"13,5",,,,,,1600,650
"Вино Тенуте Дель Неччио Кьянти красное сухое 0,75 л",2240,,800,Италия,"Санджовезе, Мальвазия Нера, Чильеджоло",13,,,,,,1700,700
"Вино Ультимо Бастион Бобаль Гарнача Крианца красное сухое 0,75 л",2240,,800,Испания,Бобаль\Гарнача,"12,5",,,,,,1800,770
"Вино Марселино Риоха Крианза красное сухое 0,75 л",2240,,800,Испания,Темпранильо,"12,5",,,,,,1900,800
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",2370,,870,Испания,Темпранильо,"13,5",,,,,,2000,870
"Вино Бариста Пинотаж красное сухое 0,75 л",2610,,1000,ЮАР,Пинотаж,13,,,,,,2100,1000
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3270,,1350,Испания,Темпранильо,"13,5",,,,,,2300,1300
Вино Маркес Де Касерес Крианса красное сухое 0.75,3270,,1350,Испания,Темпранильо/Гарнача/Грасиано,14,,,,,,2500,1350
"Вино Патриа Чика красное сухое 0,75 л",3450,,1450,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,,,,2500,1400
Вино Трамонтана Апулия красное сухое,,нет,490,Италия,Санджовезе,11,,,,,,1000,400
"Вино Терраш де Монсараш красное сухое 0,75 л",,нет в наличии,650,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,1700,650
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,нет,нет,Чили,Пино Нуар,"12,5",,,,,,1700,670
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,нет,нет,Италия,Санджовезе,"12,5",,,,,,1800,630
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,нет,нет,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,,,,2200,1200
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1600,,450,ЮАР,Пинотаж,"13,5",,,,,,1500,450
"Вино Кахури Гвинис Марани Алазанская Долина белое полусладкое 0,75 л",1670,,490,Грузия,Ркацители,12,,,,,,1300,350
"Вино Музаради Алазанская Долина белое полусладкое 0,75 л",1670,,490,Грузия,Ркацители\Белые сорта винограда,"12,5",,,,,,1400,400
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1670,,490,Грузия,Саперави,11,,,,,,1400,400
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1780,,550,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,1600,550
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1810,,570,Грузия,Саперави,12,,,,,,1700,450
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1890,,610,Грузия,Саперави,12,,,,,,1700,590
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",2120,,730,Грузия,Саперави,12,,,,,,1900,630
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2370,,870,Грузия,Саперави,11,,,,,,2000,690
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2810,,1100,Грузия,Саперави,12,,,,,,2100,1100
Вино Трамонтана Апулия красное полусладкое,,нет,490,Италия,Санджовезе,"10,5",,,,,,1000,450
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",,нет,нет,Грузия,Саперави,"11,5",,,,,,1500,500
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1600,,450,Грузия,Саперави,"11,5",,,,,,1100,400
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2120,,730,Италия,Монтепульчано,13,,,,,,1600,730
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2120,,730,Италия,Примитиво\Негроамаро,15,,,,,,1700,730
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2190,,770,Италия,Негроамаро,13,,,,,,1500,700
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2240,,800,Италия,Примитиво,"13,5",,,,,,1500,650
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",2410,,890,Франция,Пино Нуар,14,,,,,,1800,850
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2410,,890,Италия,Неро д'Авола,13,,,,,,1900,870
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2430,,900,Италия,Монтепульчано,13,,,,,,1800,770
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2430,,900,Италия,Ува Лонганези,"13,5",,,,,,1900,900
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2520,,950,Италия,Примитиво,14,,,,,,1900,850
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",2570,,970,Германия,Пино Нуар,"12,5",,,,,,2000,950
"Вино Баррелая красное полусухое 0,75 л",2610,,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,2100,1000
"Вино Кьянти Ризерва красное полусухое 0,75 л",2750,,1070,Италия,Санджовезе\Мерло,13,,,,,,2000,950
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",3090,,1250,Италия,Монтепульчано,"13,5",,,,,,2200,1100
"Вино Неро ди Тройя красное полусухое 0,75 л",3170,,1300,Италия,Неро ди Троя,15,,,,,,2200,1200
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3230,,1330,Италия,Сузуманьелло,"14,5",,,,,,2300,1300
Вино ВайНот?! IGP красное полусухое,3450,,1450,Италия,Зинфандель,15,,,,,,2500,1400
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,нет,нет,ЮАР,Пинотаж,"13,5",,,,,,1400,550
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет,Италия,Санджовезе\Мерло,"13,5",,,,,,1500,500
,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1600,,450,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,
